entry_date,entry_price,strike,premium,expiry_date,delta,status,exit_date,exit_price,outcome,pnl
2023-12-07 00:00:00-05:00,192.45249938964844,202.07512435913088,2.2059656813203077,2024-01-06 00:00:00-05:00,0.27076675359649666,closed,2024-01-08 00:00:00-05:00,183.8239898681641,expired,-3211.2719200820193
2024-01-09 00:00:00-05:00,183.40789794921875,192.5782928466797,2.102292928604271,2024-02-08 00:00:00-05:00,0.27076675359649666,closed,2024-02-08 00:00:00-05:00,186.5581817626953,expired,2626.2883710404167
2024-02-09 00:00:00-05:00,187.32192993164065,196.68802642822268,2.1471570912220486,2024-03-10 00:00:00-05:00,0.27076675359649716,closed,2024-03-11 00:00:00-04:00,171.35218811035156,expired,-6911.2923650335215
2024-03-12 00:00:00-04:00,171.82830810546875,180.4197235107422,1.9695631491517318,2024-04-11 00:00:00-04:00,0.27076675359649666,closed,2024-04-11 00:00:00-04:00,173.6236572265625,expired,1882.4561351227408
2024-04-12 00:00:00-04:00,175.1214599609375,183.87753295898438,2.0073105413632035,2024-05-12 00:00:00-04:00,0.27076675359649666,closed,2024-05-13 00:00:00-04:00,185.0233154296875,assigned,5381.691769705039
2024-05-14 00:00:00-04:00,186.1655731201172,195.47385177612304,2.1339024780074993,2024-06-13 00:00:00-04:00,0.27076675359649716,closed,2024-06-13 00:00:00-04:00,212.79470825195312,assigned,5721.090567006677
2024-06-14 00:00:00-04:00,211.0565185546875,221.60934448242188,2.419212211985581,2024-07-14 00:00:00-04:00,0.27076675359649666,closed,2024-07-15 00:00:00-04:00,232.81871032714844,assigned,6486.019069859978
2024-07-16 00:00:00-04:00,233.23587036132807,244.89766387939449,2.6734406011961482,2024-08-15 00:00:00-04:00,0.27076675359649666,closed,2024-08-15 00:00:00-04:00,223.46237182617188,expired,-3550.0289669800227
2024-08-16 00:00:00-04:00,224.78494262695312,236.0241897583008,2.57657276826869,2024-09-15 00:00:00-04:00,0.27076675359649666,closed,2024-09-16 00:00:00-04:00,215.10939025878903,expired,-3549.4897999477007
2024-09-17 00:00:00-04:00,215.5767364501953,226.3555732727051,2.471024714193682,2024-10-17 00:00:00-04:00,0.27076675359649666,closed,2024-10-17 00:00:00-04:00,230.8507843017578,assigned,6624.9307683517345
2024-10-18 00:00:00-04:00,233.68484497070312,245.36908721923828,2.6785869234481723,2024-11-17 00:00:00-04:00,0.27076675359649666,closed,2024-11-18 00:00:00-05:00,226.9933624267578,expired,-2006.44781024857
2024-11-19 00:00:00-05:00,227.252197265625,238.61480712890625,2.6048534041515694,2024-12-19 00:00:00-05:00,0.27076675359649666,closed,2024-12-19 00:00:00-05:00,248.66534423828125,assigned,6983.73163371641
2024-12-20 00:00:00-05:00,253.3441925048828,266.01140213012695,2.9039300398799526,2025-01-19 00:00:00-05:00,0.27076675359649666,closed,2025-01-21 00:00:00-05:00,221.63758850097656,expired,-14401.336982013148
2025-01-22 00:00:00-05:00,222.8222198486328,233.96333084106448,2.554075273538025,2025-02-21 00:00:00-05:00,0.27076675359649666,closed,2025-02-21 00:00:00-05:00,244.71319580078125,assigned,6847.593132984844
2025-02-24 00:00:00-05:00,246.25791931152344,258.5708152770996,2.8227044100617746,2025-03-26 00:00:00-05:00,0.27076675359649716,closed,2025-03-27 00:00:00-04:00,223.087158203125,expired,-10174.028349168331
2025-03-28 00:00:00-04:00,217.1574249267578,228.01529617309572,2.48914318261167,2025-04-27 00:00:00-04:00,0.27076675359649666,closed,2025-04-28 00:00:00-04:00,209.4238739013672,expired,-2622.2039213894777
2025-04-29 00:00:00-04:00,210.490234375,221.01474609375,2.4127212416410657,2025-05-29 00:00:00-04:00,0.27076675359649666,closed,2025-05-29 00:00:00-04:00,199.5299072265625,expired,-4273.802953398217
2025-05-30 00:00:00-04:00,200.4280242919922,210.4494255065918,2.297384261390114,2025-06-29 00:00:00-04:00,0.27076675359649666,closed,2025-06-30 00:00:00-04:00,204.7389373779297,expired,3304.148673663807
2025-07-01 00:00:00-04:00,207.3833770751953,217.7525459289551,2.3771092303558703,2025-07-31 00:00:00-04:00,0.27076675359649666,closed,2025-07-31 00:00:00-04:00,207.1339111328125,expired,1063.821643986529
2025-08-01 00:00:00-04:00,201.95481872558597,212.05255966186527,2.314884975247409,2025-08-31 00:00:00-04:00,0.27076675359649666,closed,2025-09-02 00:00:00-04:00,229.49752807617188,assigned,6206.312955763358
2025-09-03 00:00:00-04:00,238.2390594482422,250.1510124206543,2.730789107751754,2025-10-03 00:00:00-04:00,0.27076675359649666,closed,2025-10-03 00:00:00-04:00,257.7701110839844,assigned,7321.371040081932
2025-10-06 00:00:00-04:00,256.44140625,269.2634765625,2.939431512976512,2025-11-05 00:00:00-04:00,0.27076675359649716,closed,2025-11-05 00:00:00-05:00,269.8783874511719,assigned,7880.750912738251
2025-11-06 00:00:00-05:00,269.5087280273437,282.98416442871087,3.08921425666135,2025-12-06 00:00:00-05:00,0.27076675359649716,closed,2025-12-08 00:00:00-05:00,277.8900146484375,expired,5735.250438877578
2025-12-09 00:00:00-05:00,277.17999267578125,291.03899230957035,3.1771452869178773,2026-01-08 00:00:00-05:00,0.2707667535964961,open,,,,
