symbol,sector,start_date,end_date,num_bars,num_features,avg_price,avg_volume,volatility,source
AAPL,TECH,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,62.00893055124234,353623929.3450676,0.3179986785906009,historical
MSFT,TECH,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,122.27600200022604,42144694.31662689,0.27485103360077884,historical
GOOGL,TECH,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,57.70744878655876,92258660.89498806,0.29994355288032654,historical
NVDA,TECH,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,17.718778062143564,524435368.23766905,0.49188302481788293,historical
META,TECH,2012-05-18T00:00:00-04:00,2025-12-10T00:00:00-05:00,3411,13,218.09319288924235,28387235.94077983,0.3978276484271938,historical
JPM,FINANCE,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,78.45574584894932,22067459.15910899,0.36684931779565066,historical
BAC,FINANCE,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,22.43946851527966,96697263.79554495,0.4670610540154437,historical
WFC,FINANCE,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,34.32695876812309,27961500.15214797,0.40802556307032345,historical
GS,FINANCE,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,206.8146922021227,5397790.852824184,0.3537207309715956,historical
MS,FINANCE,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,43.97039497306447,13679146.294351632,0.4794454004704009,historical
UNH,HEALTHCARE,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,182.86552816169453,6041455.5029832935,0.3221152779626853,historical
JNJ,HEALTHCARE,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,88.60655218965019,9379980.770883055,0.17356398637046255,historical
PFE,HEALTHCARE,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,20.185208970151823,36852067.94053301,0.23464795490278062,historical
ABBV,HEALTHCARE,2013-01-02T00:00:00-05:00,2025-12-10T00:00:00-05:00,3256,13,86.33716136993296,7309843.511977887,0.26345904221724775,historical
TMO,HEALTHCARE,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,223.40063808527654,2161502.4391408116,0.26726801381195797,historical
XOM,ENERGY,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,57.88542402558793,19319004.586515512,0.26615359140674316,historical
CVX,ENERGY,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,77.83261378644094,8955724.616149563,0.28493364706393787,historical
COP,ENERGY,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,48.91004782720701,9906551.417462211,0.3489196257725126,historical
SLB,ENERGY,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,47.009880168341226,10282711.874701671,0.3895606268895618,historical
EOG,ENERGY,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,61.91006450531685,4657738.812848051,0.40000474523200874,historical
WMT,CONSUMER,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,29.667499207843363,31319227.449085124,0.2056543122521571,historical
HD,CONSUMER,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,136.73221190372155,8336211.034606205,0.261977730732798,historical
MCD,CONSUMER,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,123.98494110319855,5319103.876889419,0.19809158848001107,historical
NKE,CONSUMER,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,52.960688141194616,10345507.522076372,0.297951852257103,historical
SBUX,CONSUMER,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,13,45.66991286777559,12916239.125298329,0.31344881045051387,historical
SPY,MACRO,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,14,231.83853596131198,126155247.13683373,0.1939181410162144,historical
^VIX,MACRO,2005-12-16T00:00:00-06:00,2025-12-10T00:00:00-06:00,5027,13,19.457493535989034,0.0,1.2853119583794153,historical
^TNX,MACRO,2005-12-16T00:00:00-06:00,2025-12-10T00:00:00-06:00,5024,13,2.8982804513352503,0.0,0.4212675171416407,historical
GLD,MACRO,2005-12-15T00:00:00-05:00,2025-12-10T00:00:00-05:00,5028,14,140.4242182999446,9904388.742044551,0.17868334724380272,historical
USO,MACRO,2006-04-10T00:00:00-04:00,2025-12-10T00:00:00-05:00,4950,14,205.5223210864597,3043570.0793939396,0.3638417854396779,historical
